token	corpus size	all contexts size	frequency	co-frequency	specificity
class	56635	19074	400	288	54.85
collective	56635	19074	95	73	17.14
level	56635	19074	56	43	10.38
critical	56635	19074	35	28	7.66
false	56635	19074	20	18	6.59
altered	56635	19074	29	22	5.46
Empowering	56635	19074	11	11	5.20
concept	56635	19074	58	36	5.19
Marxian	56635	19074	28	21	5.10
raising	56635	19074	30	22	5.06
levels	56635	19074	32	23	5.03
phenomenal	56635	19074	42	28	5.01
theory	56635	19074	117	61	4.78
theories	56635	19074	88	48	4.56
explaining	56635	19074	22	17	4.51
Economics	56635	19074	15	13	4.48
correlates	56635	19074	24	18	4.45
Proletariat	56635	19074	12	11	4.30
neural	56635	19074	47	29	4.26
‘false’	56635	19074	9	9	4.25
Class	56635	19074	107	55	4.20
explain	56635	19074	37	24	4.11
psychological	56635	19074	23	17	4.10
access	56635	19074	31	21	4.06
status	56635	19074	20	15	3.79
sort	56635	19074	30	20	3.76
proletariat	56635	19074	114	56	3.63
role	56635	19074	47	27	3.34
physical	56635	19074	45	26	3.29
possibility	56635	19074	16	12	3.13
develop	56635	19074	16	12	3.13
development	56635	19074	24	16	3.12
fundamental	56635	19074	18	13	3.10
higher-order	56635	19074	18	13	3.10
human	56635	19074	51	28	3.04
representational	56635	19074	9	8	3.01
challenges	56635	19074	11	9	2.87
Higher	56635	19074	6	6	2.84
disorders	56635	19074	23	15	2.83
understand	56635	19074	19	13	2.78
lead	56635	19074	15	11	2.78
lack	56635	19074	15	11	2.78
Altered	56635	19074	15	11	2.78
aspect	56635	19074	26	16	2.62
degrees	56635	19074	8	7	2.58
terms	56635	19074	33	19	2.56
plays	56635	19074	10	8	2.48
workspace	56635	19074	10	8	2.48
components	56635	19074	10	8	2.48
relation	56635	19074	18	12	2.47
basis	56635	19074	18	12	2.47
measure	56635	19074	16	11	2.45
patients	56635	19074	36	20	2.44
concepts	56635	19074	14	10	2.44
meta-mental	56635	19074	14	10	2.44
nature	56635	19074	41	22	2.40
gained	56635	19074	5	5	2.36
topic	56635	19074	5	5	2.36
interpretable	56635	19074	5	5	2.36
objective	56635	19074	39	21	2.34
types	56635	19074	23	14	2.31
feature	56635	19074	21	13	2.26
relevant	56635	19074	35	19	2.23
one’s	56635	19074	7	6	2.17
freedom	56635	19074	7	6	2.17
Despite	56635	19074	7	6	2.17
qualitative	56635	19074	26	15	2.16
studies	56635	19074	15	10	2.14
False	56635	19074	13	9	2.11
aspects	56635	19074	24	14	2.11
produce	56635	19074	11	8	2.10
learning	56635	19074	11	8	2.10
reality	56635	19074	36	19	2.08
humans	56635	19074	22	13	2.05
Critical	56635	19074	29	16	2.05
provide	56635	19074	18	11	1.95
quantum	56635	19074	25	14	1.93
distinguishing	56635	19074	4	4	1.89
allowed	56635	19074	4	4	1.89
intuition	56635	19074	4	4	1.89
physicalist	56635	19074	4	4	1.89
alter	56635	19074	4	4	1.89
patient’s	56635	19074	4	4	1.89
pedagogy	56635	19074	4	4	1.89
forms	56635	19074	40	20	1.88
function	56635	19074	28	15	1.84
view	56635	19074	38	19	1.82
verbal	56635	19074	12	8	1.80
bourgeoisie	56635	19074	51	24	1.80
stream	56635	19074	10	7	1.76
suggested	56635	19074	10	7	1.76
limits	56635	19074	10	7	1.76
literature	56635	19074	6	5	1.76
Most	56635	19074	6	5	1.76
raise	56635	19074	6	5	1.76
argued	56635	19074	31	16	1.76
matter	56635	19074	19	11	1.75
suggests	56635	19074	8	6	1.75
behaviors	56635	19074	8	6	1.75
historical	56635	19074	44	21	1.72
true	56635	19074	24	13	1.71
model	56635	19074	24	13	1.71
form	56635	19074	45	21	1.63
Why	56635	19074	15	9	1.62
understanding	56635	19074	56	25	1.60
struggle	56635	19074	43	20	1.57
century	56635	19074	25	13	1.57
achieve	56635	19074	13	8	1.56
regard	56635	19074	13	8	1.56
proletarian	56635	19074	13	8	1.56
question	56635	19074	49	22	1.52
normal	56635	19074	18	10	1.51
Collective	56635	19074	28	14	1.51
evolution	56635	19074	11	7	1.50
models	56635	19074	11	7	1.50
brains	56635	19074	11	7	1.50
impaired	56635	19074	9	6	1.45
philosophers	56635	19074	26	13	1.45
dynamics	56635	19074	16	9	1.44
animals	56635	19074	16	9	1.44
relations	56635	19074	16	9	1.44
contradiction	56635	19074	16	9	1.44
including	56635	19074	21	11	1.44
real	56635	19074	21	11	1.44
highlighted	56635	19074	3	3	1.42
hinder	56635	19074	3	3	1.42
intricate	56635	19074	3	3	1.42
advocating	56635	19074	3	3	1.42
Struggle	56635	19074	3	3	1.42
goals	56635	19074	3	3	1.42
Once	56635	19074	3	3	1.42
subsection	56635	19074	3	3	1.42
experts	56635	19074	3	3	1.42
Within	56635	19074	3	3	1.42
assessed	56635	19074	3	3	1.42
alterations	56635	19074	3	3	1.42
professionals	56635	19074	3	3	1.42
difficulties	56635	19074	3	3	1.42
indicators	56635	19074	3	3	1.42
(IIT	56635	19074	3	3	1.42
cerebral	56635	19074	3	3	1.42
advantage	56635	19074	3	3	1.42
suggesting	56635	19074	3	3	1.42
minimal	56635	19074	3	3	1.42
indicating	56635	19074	3	3	1.42
continuous	56635	19074	3	3	1.42
reflexive	56635	19074	3	3	1.42
spatial	56635	19074	3	3	1.42
Here	56635	19074	3	3	1.42
ontological	56635	19074	3	3	1.42
realist	56635	19074	3	3	1.42
incomplete	56635	19074	3	3	1.42
connected	56635	19074	3	3	1.42
socially	56635	19074	3	3	1.42
achieving	56635	19074	3	3	1.42
quantity	56635	19074	3	3	1.42
radically	56635	19074	3	3	1.42
clues	56635	19074	3	3	1.42
termed	56635	19074	3	3	1.42
organic	56635	19074	3	3	1.42
disciplines	56635	19074	3	3	1.42
distance	56635	19074	3	3	1.42
imputed	56635	19074	3	3	1.42
emerging	56635	19074	3	3	1.42
disentangle	56635	19074	3	3	1.42
explainable	56635	19074	3	3	1.42
(ECI	56635	19074	3	3	1.42
perturbational	56635	19074	3	3	1.42
processes	56635	19074	29	14	1.40
natural	56635	19074	7	5	1.40
Stream	56635	19074	7	5	1.40
Main	56635	19074	7	5	1.40
procedure	56635	19074	7	5	1.40
determines	56635	19074	7	5	1.40
position	56635	19074	24	12	1.38
framework	56635	19074	14	8	1.37
key	56635	19074	14	8	1.37
causal	56635	19074	14	8	1.37
sorts	56635	19074	14	8	1.37
deep	56635	19074	14	8	1.37
conception	56635	19074	5	4	1.37
helping	56635	19074	5	4	1.37
