token	corpus size	all contexts size	frequency	co-frequency	specificity
угрызения	242815	19521	49	45	44.10
голос	242815	19521	131	54	24.54
что	242815	19521	2479	338	21.04
такое	242815	19521	266	72	19.72
своей	242815	19521	228	65	19.17
человеку	242815	19521	166	54	18.92
мучает	242815	19521	23	20	18.76
Что	242815	19521	213	61	18.16
то	242815	19521	809	140	17.25
у	242815	19521	538	106	17.23
человека	242815	19521	898	150	17.01
угрызений	242815	19521	19	17	16.45
Угрызения	242815	19521	14	14	15.33
[Зачем	242815	19521	12	12	13.14
голосу	242815	19521	25	17	12.87
говорит	242815	19521	113	36	12.61
она	242815	19521	328	67	12.02
свою	242815	19521	188	47	11.86
зачем	242815	19521	28	17	11.68
человеке	242815	19521	67	26	11.53
о	242815	19521	974	138	10.40
голосом	242815	19521	22	14	10.11
чистой	242815	19521	16	12	10.02
чистую	242815	19521	9	9	9.85
называется	242815	19521	43	19	9.77
есть	242815	19521	632	98	9.70
чувственная	242815	19521	18	12	9.09
Павел	242815	19521	42	18	9.03
Муки	242815	19521	8	8	8.76
следует	242815	19521	75	24	8.72
[Что	242815	19521	16	11	8.59
человек	242815	19521	511	80	8.31
мучения	242815	19521	14	10	8.09
муки	242815	19521	25	13	7.95
чиста	242815	19521	9	8	7.84
Наконец	242815	19521	19	11	7.46
не	242815	19521	2817	303	7.25
ли	242815	19521	233	44	7.20
рассматриваться	242815	19521	10	8	7.18
чистая	242815	19521	10	8	7.18
чувства	242815	19521	126	29	6.84
убеждает	242815	19521	8	7	6.80
греховности	242815	19521	8	7	6.80
это	242815	19521	1178	144	6.77
чувство	242815	19521	166	34	6.60
проявлений	242815	19521	22	11	6.60
уподобил	242815	19521	6	6	6.57
хранении	242815	19521	6	6	6.57
Личная	242815	19521	6	6	6.57
Коллективная	242815	19521	6	6	6.57
свидетельствует	242815	19521	27	12	6.44
ее	242815	19521	298	50	6.44
закон	242815	19521	79	21	6.23
очищает	242815	19521	12	8	6.21
пробудить	242815	19521	9	7	6.18
О	242815	19521	136	29	6.12
и	242815	19521	7967	749	6.09
поступили	242815	19521	16	9	6.05
голоса	242815	19521	29	12	6.04
Божий	242815	19521	45	15	5.98
обличает	242815	19521	7	6	5.76
грехопадения	242815	19521	10	7	5.69
укоры	242815	19521	10	7	5.69
Природа	242815	19521	14	8	5.50
сердцах	242815	19521	18	9	5.49
Народные	242815	19521	5	5	5.47
пословицы	242815	19521	5	5	5.47
нас	242815	19521	253	42	5.45
является	242815	19521	405	59	5.43
он	242815	19521	520	71	5.35
Библия	242815	19521	11	7	5.29
мук	242815	19521	11	7	5.29
воспитания	242815	19521	45	14	5.23
Итак	242815	19521	20	9	5.03
её	242815	19521	131	26	5.00
Богом	242815	19521	47	14	5.00
Как	242815	19521	256	41	4.97
угрызениями	242815	19521	12	7	4.95
хранить	242815	19521	12	7	4.95
Бог	242815	19521	60	16	4.94
том	242815	19521	385	55	4.89
духа	242815	19521	42	13	4.88
может	242815	19521	599	77	4.82
сказал	242815	19521	26	10	4.81
указывает	242815	19521	37	12	4.78
обвиняют	242815	19521	6	5	4.73
заговорила	242815	19521	6	5	4.73
компас	242815	19521	6	5	4.73
хранение	242815	19521	6	5	4.73
дает	242815	19521	69	17	4.73
стыда	242815	19521	56	15	4.70
мучить	242815	19521	13	7	4.65
Через	242815	19521	13	7	4.65
а	242815	19521	875	103	4.56
против	242815	19521	33	11	4.56
воли	242815	19521	52	14	4.46
умом	242815	19521	10	6	4.39
Святитель	242815	19521	10	6	4.39
Писании	242815	19521	14	7	4.38
намерениям	242815	19521	4	4	4.38
пренебрежение	242815	19521	4	4	4.38
