token	corpus size	all contexts size	frequency	co-frequency	specificity
является	278991	23146	406	102	23.71
Структура	278991	23146	29	21	16.37
функции	278991	23146	79	34	16.05
теорий	278991	23146	36	23	15.99
Понятие	278991	23146	37	23	15.61
теории	278991	23146	166	48	14.15
человека	278991	23146	899	143	13.47
человеческого	278991	23146	84	32	13.36
доступа	278991	23146	34	19	11.84
основные	278991	23146	29	17	11.12
объяснения	278991	23146	56	23	10.61
представляет	278991	23146	76	27	10.58
следующие	278991	23146	28	16	10.27
вопрос	278991	23146	118	34	10.24
квантового	278991	23146	13	11	10.08
Свойства	278991	23146	13	11	10.08
философии	278991	23146	116	33	9.81
мозга	278991	23146	293	58	9.48
устроено	278991	23146	14	11	9.44
феноменального	278991	23146	20	13	9.43
наличие	278991	23146	59	22	9.23
функционирования	278991	23146	24	14	9.22
существует	278991	23146	122	33	9.19
общественного	278991	23146	32	16	9.12
человеческое	278991	23146	35	16	8.41
процессы	278991	23146	108	29	8.10
Утрата	278991	23146	11	9	8.07
формы	278991	23146	51	19	8.06
такое	278991	23146	266	51	7.98
эволюции	278991	23146	52	19	7.90
теория	278991	23146	111	29	7.82
свойства	278991	23146	81	24	7.73
структуру	278991	23146	34	15	7.66
структуры	278991	23146	55	19	7.45
природа	278991	23146	23	12	7.26
относительно	278991	23146	62	20	7.24
Проблема	278991	23146	16	10	7.13
структуре	278991	23146	24	12	6.99
индивидуального	278991	23146	25	12	6.75
корреляты	278991	23146	8	7	6.70
объяснить	278991	23146	55	18	6.69
состояния	278991	23146	146	32	6.64
индивидуальное	278991	23146	11	8	6.54
общественное	278991	23146	11	8	6.54
деятельности	278991	23146	177	36	6.53
объяснению	278991	23146	6	6	6.49
формируется	278991	23146	52	17	6.36
свойство	278991	23146	58	18	6.31
Что	278991	23146	213	40	6.23
выделить	278991	23146	23	11	6.21
науки	278991	23146	54	17	6.10
разновидности	278991	23146	9	7	6.09
могло	278991	23146	24	11	5.98
проблема	278991	23146	44	15	5.95
определяется	278991	23146	39	14	5.90
реальности	278991	23146	115	26	5.82
состоит	278991	23146	75	20	5.79
подхода	278991	23146	13	8	5.73
